SOLID_GENES,IC_BROAD,is_default,T1,T2,T3,T4,T5,moved_vs_default,curated_in_T1T2
5,2.0,False,1181,282,6,1619,19,277,62/62
5,3.0,False,1159,286,24,1619,19,253,62/62
5,4.0,False,1129,294,46,1619,19,286,62/62
5,5.0,False,1129,294,46,1619,19,286,62/62
8,2.0,False,1001,462,6,1619,19,97,62/62
8,3.0,False,979,466,24,1619,19,73,62/62
8,4.0,False,949,474,46,1619,19,106,62/62
8,5.0,False,949,474,46,1619,19,106,62/62
10,2.0,False,928,535,6,1619,19,24,62/62
10,3.0,True,906,539,24,1619,19,0,62/62
10,4.0,False,876,547,46,1619,19,33,62/62
10,5.0,False,876,547,46,1619,19,33,62/62
15,2.0,False,773,690,6,1619,19,179,62/62
15,3.0,False,751,694,24,1619,19,155,62/62
15,4.0,False,721,702,46,1619,19,188,62/62
15,5.0,False,721,702,46,1619,19,188,62/62
20,2.0,False,686,777,6,1619,19,266,62/62
20,3.0,False,664,781,24,1619,19,242,62/62
20,4.0,False,634,789,46,1619,19,275,62/62
20,5.0,False,634,789,46,1619,19,275,62/62
